2025-12-08 16:09:31 | INFO | Config saved to ./logs/TimeLLM_ETTh1_TimeLLM-ETTh1-GPT2_20251208_160931/config.json
2025-12-08 16:09:31 | INFO | Experiment Setting: long_term_forecast_ETTh1_512_96_TimeLLM_ETTh1_ftM_sl512_ll48_pl96_dm32_nh8_el2_dl1_df128_fc3_ebtimeF_Exp_0
2025-12-08 16:09:31 | INFO | Training iteration: 1/1
2025-12-08 16:54:29 | INFO | Epoch 004 | Iter 00700/1004 | Loss: 0.2807921 | Speed: 0.5395s/iter | ETA: 1h 42m
2025-12-08 16:55:30 | INFO | Epoch 004 | Iter 00800/1004 | Loss: 0.2933174 | Speed: 0.6194s/iter | ETA: 1h 56m
2025-12-08 16:56:32 | INFO | Epoch 004 | Iter 00900/1004 | Loss: 0.3371610 | Speed: 0.6167s/iter | ETA: 1h 54m
2025-12-08 16:57:24 | INFO | Epoch 004 | Iter 01000/1004 | Loss: 0.2843200 | Speed: 0.5204s/iter | ETA: 1h 35m
2025-12-08 17:00:36 | INFO | Epoch 004 | Train Loss: 0.3782686 | Vali Loss: 0.7812047 | Test Loss: 0.3877600 | MAE: 0.4109489 | Time: 582.18s | LR: 1.00e-04
2025-12-08 17:01:41 | INFO | Epoch 005 | Iter 00100/1004 | Loss: 0.6107767 | Speed: 2.5680s/iter | ETA: 7h 48m
2025-12-08 17:02:40 | INFO | Epoch 005 | Iter 00200/1004 | Loss: 0.4238948 | Speed: 0.5919s/iter | ETA: 1h 46m
2025-12-08 17:03:34 | INFO | Epoch 005 | Iter 00300/1004 | Loss: 0.5070140 | Speed: 0.5363s/iter | ETA: 1h 36m
2025-12-08 17:04:36 | INFO | Epoch 005 | Iter 00400/1004 | Loss: 0.3217797 | Speed: 0.6212s/iter | ETA: 1h 50m
2025-12-08 17:05:33 | INFO | Epoch 005 | Iter 00500/1004 | Loss: 0.3789973 | Speed: 0.5705s/iter | ETA: 1h 40m
2025-12-08 17:06:32 | INFO | Epoch 005 | Iter 00600/1004 | Loss: 0.5141116 | Speed: 0.5917s/iter | ETA: 1h 43m
2025-12-08 17:07:33 | INFO | Epoch 005 | Iter 00700/1004 | Loss: 0.3576404 | Speed: 0.6122s/iter | ETA: 1h 45m
2025-12-08 17:08:27 | INFO | Epoch 005 | Iter 00800/1004 | Loss: 0.2816036 | Speed: 0.5362s/iter | ETA: 1h 31m
2025-12-08 17:09:28 | INFO | Epoch 005 | Iter 00900/1004 | Loss: 0.3095022 | Speed: 0.6098s/iter | ETA: 1h 43m
2025-12-08 17:10:30 | INFO | Epoch 005 | Iter 01000/1004 | Loss: 0.3612913 | Speed: 0.6239s/iter | ETA: 1h 44m
2025-12-08 17:13:41 | INFO | Epoch 005 | Train Loss: 0.3724038 | Vali Loss: 0.7496117 | Test Loss: 0.3862712 | MAE: 0.4114786 | Time: 594.69s | LR: 5.00e-05
2025-12-08 17:14:42 | INFO | Epoch 006 | Iter 00100/1004 | Loss: 0.4528207 | Speed: 2.5210s/iter | ETA: 6h 57m
2025-12-08 17:15:44 | INFO | Epoch 006 | Iter 00200/1004 | Loss: 0.2831568 | Speed: 0.6176s/iter | ETA: 1h 41m
2025-12-08 17:16:39 | INFO | Epoch 006 | Iter 00300/1004 | Loss: 0.2866884 | Speed: 0.5454s/iter | ETA: 1h 28m
2025-12-08 17:17:40 | INFO | Epoch 006 | Iter 00400/1004 | Loss: 0.4583385 | Speed: 0.6100s/iter | ETA: 1h 38m
2025-12-08 17:18:41 | INFO | Epoch 006 | Iter 00500/1004 | Loss: 0.3684298 | Speed: 0.6147s/iter | ETA: 1h 37m
2025-12-08 17:19:33 | INFO | Epoch 006 | Iter 00600/1004 | Loss: 0.3501982 | Speed: 0.5189s/iter | ETA: 1h 21m
2025-12-08 17:20:35 | INFO | Epoch 006 | Iter 00700/1004 | Loss: 0.6779090 | Speed: 0.6212s/iter | ETA: 1h 36m
2025-12-08 17:21:38 | INFO | Epoch 006 | Iter 00800/1004 | Loss: 0.4273122 | Speed: 0.6235s/iter | ETA: 1h 36m
2025-12-08 17:22:30 | INFO | Epoch 006 | Iter 00900/1004 | Loss: 0.3777665 | Speed: 0.5210s/iter | ETA: 1h 19m
2025-12-08 17:23:32 | INFO | Epoch 006 | Iter 01000/1004 | Loss: 0.3377889 | Speed: 0.6237s/iter | ETA: 1h 33m
2025-12-08 17:26:44 | INFO | Epoch 006 | Train Loss: 0.3674974 | Vali Loss: 0.7619929 | Test Loss: 0.3875768 | MAE: 0.4121629 | Time: 590.74s | LR: 2.50e-05
2025-12-08 17:27:44 | INFO | Epoch 007 | Iter 00100/1004 | Loss: 0.2817389 | Speed: 2.5151s/iter | ETA: 6h 14m
2025-12-08 17:28:42 | INFO | Epoch 007 | Iter 00200/1004 | Loss: 0.3747283 | Speed: 0.5822s/iter | ETA: 1h 25m
2025-12-08 17:29:45 | INFO | Epoch 007 | Iter 00300/1004 | Loss: 0.3494248 | Speed: 0.6300s/iter | ETA: 1h 31m
2025-12-08 17:30:37 | INFO | Epoch 007 | Iter 00400/1004 | Loss: 0.5305360 | Speed: 0.5254s/iter | ETA: 1h 15m
2025-12-08 17:31:38 | INFO | Epoch 007 | Iter 00500/1004 | Loss: 0.2918033 | Speed: 0.6034s/iter | ETA: 1h 25m
2025-12-08 17:32:39 | INFO | Epoch 007 | Iter 00600/1004 | Loss: 0.3748015 | Speed: 0.6145s/iter | ETA: 1h 26m
2025-12-08 17:33:31 | INFO | Epoch 007 | Iter 00700/1004 | Loss: 0.3631887 | Speed: 0.5168s/iter | ETA: 1h 11m
2025-12-08 17:34:33 | INFO | Epoch 007 | Iter 00800/1004 | Loss: 0.3249300 | Speed: 0.6260s/iter | ETA: 1h 25m
